Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status
cubic_100,100,150,0.03,75.0,901.46,Melhor
cubic_200,200,300,0.02,152.0,900.17,Melhor
cubic_300,300,450,0.01,228.0,900.16,Melhor
cubic_400,400,600,0.01,303.0,900.10,Melhor
cubic_500,500,750,0.01,386.0,900.12,Melhor
cubic_600,600,900,0.01,462.0,900.09,Melhor
cubic_700,700,1050,0.00,539.0,900.10,Melhor
cubic_800,800,1200,0.00,610.0,900.15,Melhor
cubic_900,900,1350,0.00,694.0,900.18,Melhor
cubic_1000,1000,1500,0.00,767.0,900.13,Melhor
cubic_1100,1100,1650,0.00,850.0,900.23,Melhor
cubic_1200,1200,1800,0.00,923.0,900.12,Melhor
cubic_1300,1300,1950,0.00,1003.0,900.13,Melhor
cubic_1400,1400,2100,0.00,1075.0,900.14,Melhor
cubic_1500,1500,2250,0.00,1154.0,900.18,Melhor
cubic_1600,1600,2400,0.00,1236.0,900.16,Melhor
cubic_1700,1700,2550,0.00,1308.0,900.17,Melhor
cubic_1800,1800,2700,0.00,1386.0,900.22,Melhor
cubic_1900,1900,2850,0.00,1472.0,900.26,Melhor
cubic_2000,2000,3000,0.00,1556.0,900.31,Melhor
cubic_2100,2100,3150,0.00,1632.0,900.41,Melhor
cubic_2200,2200,3300,0.00,1743.0,900.30,Melhor
cubic_2300,2300,3450,0.00,1815.0,900.34,Melhor
cubic_2400,2400,3600,0.00,1913.0,900.42,Melhor
cubic_2500,2500,3750,0.00,1984.0,900.59,Melhor
cubic_2600,2600,3900,0.00,2086.0,900.29,Melhor
cubic_2700,2700,4050,0.00,2156.0,900.38,Melhor
cubic_2800,2800,4200,0.00,2235.0,901.44,Melhor
cubic_2900,2900,4350,0.00,2326.0,938.76,Melhor
cubic_3000,3000,4500,0.00,2424.0,900.49,Melhor
